目前 粮食 出现 阶段性 过剩 , 恰好 可以 以 粮食 换 森林 、 换 草地 , 再造 西部 秀美 山川 。	<bos> the present food surplus can specifically serve the purpose of helping western china restore its woodlands , grasslands , and the beauty of its landscapes . <eos>
工程 的 立项 、 设计 都 要 充分 论证 , 反复 比较 , 使 工程 经 得 起 时间 检验 。	<bos> the establishment and design of projects must be fully debated and repeated comparisons must be made in order to make the project stand the test of time . <eos>
建设 现代化 的 气象 、 水文 、 通信 设施 , 加强 雨情 水情 分析 研究 , 提高 预报 的 准确性 。	<bos> establish modernized meteorological , hydrological , and communications facilities , strengthen analysis and research of rainfall and water conditions , and improve the accuracy of forecasting . <eos>
随着 香港 和 澳门 的 回归 祖国 , 解决 台湾 问题 突出 地 摆在 了 全体 中国 人民 的 面前 。	<bos> following the reversion of hong kong and taiwan to the motherland , the issue of settling the taiwan problem is conspicuously facing the entire chinese people . <eos>
象 往年 一样 , 数百 名 乡亲 今天 上午 聚集 在 钟氏 祠堂 前 的 广场 举行 团拜 , 互致问候 。	<bos> just like before , hundreds of villagers gathered at the square in front of the ancestral hall of the chung family to have mass greetings . <eos>
这 家 的 主人 是 69 岁 的 退休 公务员 钟志坚 , 他 有 三 子 一女 及 3 名 孙儿 。	<bos> the master of the house is 69-year-old chung chi-chien , a retired public servant . he has three sons , one daughter , and three grandsons . <eos>
林村乡 历史 悠久 , 居民 的 先祖 于 宋朝 末年 已 迁徙 至 此 , 至今 已 有 700 多 年 。	<bos> lam tsuen has enjoyed a long history . the ancestors of the villagers relocated here in the late years of song dynasty , which was 700 years ago . <eos>
俄 代 总统 普京 日前 在 俄联邦 安全 会议 上 明确 指出 , 新 军事 学说 “ 是 对 北约 的 回答 ” 。	<bos> acting russian prime minister putin specifically pointed out at the recent russian federation security council meeting that the new military doctrine is " a reply to nato . " <eos>
为了 得到 别人 的 尊重 , 必须 保持 核 潜力 , 将 核武器 作为 “ 遏制 敌人 的 政治 工具 ” 。	<bos> in order to be respected by others , it is essential to maintain nuclear potential and regard nuclear weapons as " political instruments for curbing the enemy . " <eos>
军事 专家 指出 , 俄 当局 如 不 动用 武装 力量 , 取得 车臣 战争 的 胜利 是 难以想象 的 。	<bos> military experts point out that unless the russian authorities send in their armed forces , it is hardly imaginable that victory could be won in the chechen war . <eos>
因此 说 , 俄 武装 力量 只 用 来 对付 外来 侵略 的 军事 学说 已经 不 符合 今天 的 现实 。	<bos> hence , the military doctrine by which the russian armed forces were only used to deal with external aggression no longer suits today 's reality . <eos>
中国 人民 银行 应当 将 改版 后 的 人民币 的 发行 时间 、 面额 、 主要 特征 等 予以 公告 。	<bos> the people 's bank of china should make a public announcement on the issuing time , denomination , and major features of the corrected renminbi . <eos>
第二十三 条 停止 流通 的 人民币 和 残缺 、 污损 的 人民币 , 由 中国 人民 银行 负责 回收 、 销毁 。	<bos> article 23 renminbi that are no longer in circulation , and are flawed or stained , should be recovered and destroyed by the people 's bank of china . <eos>
王光亚 重申 , 中国 政府 将 “ 坚决 捍卫 国家 主权 、 领土 完整 、 民族 尊严 和 国家 安全 ” 。	<bos> wang guangya reiterated that the chinese government will " resolutely defend china 's sovereignty , territorial integrity , national dignity , and national security . " <eos>
今年 贺岁 烟花 汇演 的 特色 是 品种 多 、 系列多 , 包括 了 16 个 系列 的 200 多 个 品种 。	<bos> in this year 's new year fireworks show featuring a large number of series of varieties , fireworks of more than 200 varieties in 16 series were used . <eos>
麦凯恩 担任 国会 议员 多 年 , 参加 过 越战 , 并 度过 了 5 年 半 的 战俘 生涯 。	<bos> mccain has been a congressman for many years . he was in the vietnam war , and spent five and a half years as a prisoner of war . <eos>
另外 , 在 全球 经济 中 , 中国 经济 作为 积极 发展 的 一 支 力量 也 受到 了 各 方 的 重视 。	<bos> in addition , china 's economy as a growing force to be reckoned with in the global economy is another area that attracted much attention . <eos>
由于 世贸 组织 西雅图 部长级 会议 失败 , 何时 发起 新 一 轮 多边 贸易 谈判 成为 众多 与会者 讨论 的 焦点 。	<bos> in view of the failure of the minister-level wto meeting in seattle , many participants wondered when another round of multilateral trade talks should be launched . <eos>
与 此 同时 , 发展中 国家 代表 对 电子 时代 贫富 差距 的 拉大 表现 出 极 大 的 担忧 。	<bos> at the same time , representatives of the developing countries expressed great concern for the widening gap between the rich and the poor in the electronic age . <eos>
南非 总统 姆贝基 说 , 因特网 带来 的 信息 革命 使得 发展中 国家 与 发达 国家 之间 的 差距 进一步 拉大 。	<bos> south africa 's president mbeki said that the information revolution brought by the internet has further widened the gap between the developing and the developed countries . <eos>
